actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
258,PT06M25.00S,2,1610612755,PHI,1641737,Bona,A. Bona,-28,4,3,Missed,1,,,0,v,MISS Bona 3' Turnaround Hook Shot,Missed Shot,Turnaround Hook Shot,1,2,182
259,PT06M24.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,,,0,v,Bona REBOUND (Off:2 Def:1),Rebound,Unknown,1,0,183
260,PT06M21.00S,2,1610612755,PHI,1641737,Bona,A. Bona,38,17,4,Missed,1,,,0,v,MISS Bona 4' Putback Layup,Missed Shot,Putback Layup Shot,1,2,184
261,PT06M20.00S,2,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White REBOUND (Off:1 Def:1),Rebound,Unknown,1,0,185
262,PT06M06.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-13,53,5,Missed,1,,,0,h,MISS Brown 5' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,186
263,PT06M05.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,187
264,PT06M05.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,Missed,1,,,0,h,MISS Brown Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,188
265,PT06M04.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,Edwards REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,189
266,PT05M54.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-186,179,26,Missed,1,,,0,v,MISS Edwards 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,190
267,PT05M53.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown REBOUND (Off:1 Def:3),Rebound,Unknown,1,0,191
268,PT05M46.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,112,237,26,Made,1,54,31,85,h,Tatum 26' 3PT Running Pull-Up Jump Shot (13 PTS),Made Shot,Running Pull-Up Jump Shot,1,3,192
269,PT05M29.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,20,10,2,Missed,1,,,0,v,MISS Oubre Jr. 2' Driving Layup,Missed Shot,Driving Layup Shot,1,2,193
270,PT05M28.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,Edwards REBOUND (Off:2 Def:2),Rebound,Unknown,1,0,194
289,PT05M28.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-12,24,3,Missed,1,,,0,v,MISS Edwards 3' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,195
290,PT05M27.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,Edwards REBOUND (Off:3 Def:2),Rebound,Unknown,1,0,196
271,PT05M15.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-224,4,0,Missed,1,,,0,v,MISS Edwards 3PT Jump Shot,Missed Shot,Jump Shot,1,3,197
272,PT05M13.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:8),Rebound,Unknown,1,0,198
274,PT05M04.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,,,0,v,SUB: George FOR Edwards,Substitution,,0,0,199
276,PT05M02.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,221,12,0,Missed,1,,,0,h,MISS Pritchard 3PT Jump Shot,Missed Shot,Jump Shot,1,3,200
277,PT05M01.00S,2,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,0,0,201
278,PT05M01.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. L.B.FOUL (P1.T4) (P.Fraher),Foul,Loose Ball,1,0,202
280,PT04M51.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,190,169,25,Missed,1,,,0,h,MISS Tatum 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,203
281,PT04M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,204
282,PT04M39.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-4,-1,0,Made,1,54,33,87,v,Oubre Jr. Driving Layup (4 PTS) (Maxey 3 AST),Made Shot,Driving Layup Shot,1,2,205
283,PT04M39.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,,,0,h,Queta S.FOUL (P3.T4) (P.Fraher),Foul,Shooting,1,0,206
285,PT04M39.00S,2,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,,,0,h,SUB: Vucevic FOR Queta,Substitution,,0,0,207
287,PT04M39.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,MISS Oubre Jr. Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,208
288,PT04M37.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,209
291,PT04M22.00S,2,1610612738,BOS,1628401,White,D. White,26,8,3,Made,1,56,33,89,h,White 3' Driving Layup (5 PTS) (Vucevic 3 AST),Made Shot,Driving Layup Shot,1,2,210
292,PT04M11.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,7,29,3,Missed,1,,,0,v,MISS Edgecombe 3' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,1,2,211
293,PT04M10.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,212
294,PT04M10.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,,,0,h,Pritchard L.B.FOUL (P1.PN) (T.Maddox),Foul,Loose Ball,1,0,213
296,PT04M10.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,,,0,v,MISS Bona Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1,0,214
297,PT04M10.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Normal Rebound,1,0,215
298,PT04M10.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,56,34,90,v,Bona Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,1,0,216
299,PT03M57.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,176,186,26,Missed,1,,,0,h,MISS Vucevic 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,217
300,PT03M56.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,218
301,PT03M43.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,-192,169,26,Missed,1,,,0,v,MISS Maxey 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,219
302,PT03M41.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,220
303,PT03M37.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,37,4,4,Missed,1,,,0,v,MISS Maxey 4' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,2,221
305,PT03M36.00S,2,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,0,0,222
439,PT03M17.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic Lost Ball Turnover (P2.T5),Turnover,Lost Ball,1,0,223
439,PT03M17.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe STEAL (2 STL),,,1,0,224
309,PT03M08.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,-2,-8,1,Made,1,56,36,92,v,Maxey 1' Running Layup (11 PTS),Made Shot,Running Layup Shot,1,2,225
310,PT02M47.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,George P.FOUL (P1.PN) (S.Foster),Foul,Personal,1,0,226
312,PT02M47.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Timeout: Regular (Reg.2 Short 0),Timeout,Regular,0,0,227
315,PT02M47.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,SUB: Hauser FOR Brown,Substitution,,0,0,228
317,PT02M47.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,57,36,93,h,Tatum Free Throw 1 of 2 (14 PTS),Free Throw,Free Throw 1 of 2,1,0,229
318,PT02M47.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,58,36,94,h,Tatum Free Throw 2 of 2 (15 PTS),Free Throw,Free Throw 2 of 2,1,0,230
319,PT02M40.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,58,69,9,Missed,1,,,0,v,MISS Edgecombe 9' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,231
320,PT02M39.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe REBOUND (Off:3 Def:0),Rebound,Unknown,1,0,232
321,PT02M38.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,Made,1,58,38,96,v,Edgecombe Tip Layup Shot (4 PTS),Made Shot,Tip Layup Shot,1,2,233
322,PT02M38.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic S.FOUL (P3.PN) (T.Maddox),Foul,Shooting,1,0,234
324,PT02M38.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,58,39,97,v,Edgecombe Free Throw 1 of 1 (5 PTS),Free Throw,Free Throw 1 of 1,1,0,235
325,PT02M23.00S,2,1610612738,BOS,1628401,White,D. White,-92,265,28,Missed,1,,,0,h,MISS White 28' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,236
326,PT02M19.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,George REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,237
327,PT02M11.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,13,44,5,Missed,1,,,0,v,MISS Maxey 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,238
328,PT02M10.00S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,239
330,PT02M10.00S,2,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,SUB: Garza FOR Vucevic,Substitution,,0,0,240
332,PT02M07.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey Bad Pass Turnover (P1.T8),Turnover,Bad Pass,1,0,241
332,PT02M07.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,Hauser STEAL (1 STL),,,1,0,242
334,PT02M03.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,-6,18,2,Made,1,60,39,99,h,Tatum 2' Running Dunk (17 PTS) (Hauser 2 AST),Made Shot,Running Dunk Shot,1,2,243
336,PT01M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,39,74,8,Made,1,60,41,101,v,Maxey 8' Driving Floating Jump Shot (13 PTS) (Edgecombe 2 AST),Made Shot,Driving Floating Jump Shot,1,2,244
338,PT01M50.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,Hauser S.FOUL (P1.PN) (P.Fraher),Foul,Shooting,1,0,245
340,PT01M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,60,42,102,v,Maxey Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,1,0,246
344,PT01M50.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,,,0,h,SUB: Brown FOR Pritchard,Substitution,,0,0,247
341,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown OFF.Foul (P3) (S.Foster),Foul,Offensive,1,0,248
343,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown Offensive Foul Turnover (P2.T6),Turnover,Offensive Foul Turnover,1,0,249
346,PT01M40.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,SUB: Pritchard FOR Brown,Substitution,,0,0,250
348,PT01M26.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,158,210,26,Missed,1,,,0,v,MISS Edgecombe 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,251
349,PT01M23.00S,2,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,Hauser REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,252
350,PT01M14.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,,,0,v,Bona P.FOUL (P3.PN) (T.Maddox),Foul,Personal,1,0,253
352,PT01M14.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,61,42,103,h,Tatum Free Throw 1 of 2 (18 PTS),Free Throw,Free Throw 1 of 2,1,0,254
353,PT01M14.00S,2,1610612755,PHI,1641737,Bona,A. Bona,0,0,0,,0,,,0,v,SUB: Drummond FOR Bona,Substitution,,0,0,255
355,PT01M14.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,62,42,104,h,Tatum Free Throw 2 of 2 (19 PTS),Free Throw,Free Throw 2 of 2,1,0,256
356,PT00M59.60S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,66,66,9,Made,1,62,44,106,v,Edgecombe 9' Driving Floating Jump Shot (7 PTS) (Maxey 4 AST),Made Shot,Driving Floating Jump Shot,1,2,257
358,PT00M41.20S,2,1610612738,BOS,1628369,Tatum,J. Tatum,153,211,26,Missed,1,,,0,h,MISS Tatum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,258
359,PT00M39.60S,2,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,259
361,PT00M32.70S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey Bad Pass Turnover (P2.T9),Turnover,Bad Pass,1,0,260
361,PT00M32.70S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum STEAL (2 STL),,,1,0,261
363,PT00M29.40S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe S.FOUL (P2.PN) (P.Fraher),Foul,Shooting,1,0,262
365,PT00M29.40S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,63,44,107,h,Tatum Free Throw 1 of 2 (20 PTS),Free Throw,Free Throw 1 of 2,1,0,263
366,PT00M29.40S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,64,44,108,h,Tatum Free Throw 2 of 2 (21 PTS),Free Throw,Free Throw 2 of 2,1,0,264
367,PT00M09.90S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,83,143,17,Made,1,64,46,110,v,Edgecombe 17' Turnaround Fadeaway (9 PTS) (Maxey 5 AST),Made Shot,Turnaround Fadeaway shot,1,2,265
368,PT00M02.80S,2,1610612738,BOS,1630568,Garza,L. Garza,-61,254,26,Missed,1,,,0,h,MISS Garza 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,266
369,PT00M00.10S,2,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,1,0,267
370,PT00M00.00S,2,0,,0,,,0,0,0,,0,64,46,110,,End of 2nd Period (2:19 PM EST),period,end,1,0,268
376,PT12M00.00S,3,0,,0,,,0,0,0,,0,64,46,110,,Start of 3rd Period (2:36 PM EST),period,start,1,0,269
377,PT11M45.00S,3,1610612738,BOS,1628401,White,D. White,81,68,11,Missed,1,,,0,h,MISS White 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,270
378,PT11M43.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,271
379,PT11M32.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,27,157,16,Missed,1,,,0,v,MISS Maxey 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,272
380,PT11M31.00S,3,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White REBOUND (Off:1 Def:2),Rebound,Unknown,1,0,273
381,PT11M17.00S,3,1610612738,BOS,1629674,Queta,N. Queta,-5,6,1,Made,1,66,46,112,h,Queta 1' Cutting Dunk Shot (9 PTS) (White 3 AST),Made Shot,Cutting Dunk Shot,1,2,274
383,PT10M52.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-11,28,3,Made,1,66,48,114,v,Oubre Jr. 3' Driving Finger Roll Layup (6 PTS) (Maxey 6 AST),Made Shot,Driving Finger Roll Layup Shot,1,2,275
385,PT10M41.00S,3,1610612738,BOS,1628401,White,D. White,-54,24,6,Made,1,68,48,116,h,White 6' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,1,2,276
386,PT10M41.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,,,0,v,Maxey S.FOUL (P3.T1) (P.Fraher),Foul,Shooting,1,0,277
388,PT10M41.00S,3,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,MISS White Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,278
389,PT10M41.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,George REBOUND (Off:0 Def:3),Rebound,Unknown,1,0,279
390,PT10M25.00S,3,1610612755,PHI,202331,George,P. George,36,20,4,Made,1,68,50,118,v,George 4' Driving Reverse Layup (11 PTS),Made Shot,Driving Reverse Layup Shot,1,2,280
391,PT10M25.00S,3,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,,,0,h,Queta S.FOUL (P4.T1) (T.Maddox),Foul,Shooting,1,0,281
393,PT10M25.00S,3,1610612738,BOS,1629674,Queta,N. Queta,0,0,0,,0,,,0,h,SUB: Vucevic FOR Queta,Substitution,,0,0,282
395,PT10M25.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,68,51,119,v,George Free Throw 1 of 1 (12 PTS),Free Throw,Free Throw 1 of 1,1,0,283
396,PT10M11.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,44,17,5,Missed,1,,,0,h,MISS Tatum 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,284
397,PT10M10.00S,3,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,285
399,PT10M10.00S,3,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Timeout: Regular (Full 3 Short 0),Timeout,Regular,0,0,286
400,PT10M10.00S,3,0,,398,,,0,0,0,,0,68,51,119,,Instant Replay3rd Period (2:41 PM EST),Instant Replay,Coach Challenge Ruling Stands,0,0,287
401,PT09M57.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,22,39,4,Missed,1,,,0,v,MISS Oubre Jr. 4' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,288
402,PT09M56.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:9),Rebound,Unknown,1,0,289
403,PT09M43.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,-93,58,11,Missed,1,,,0,h,MISS Vucevic 11' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,290
404,PT09M42.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,,,0,v,George REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,291
405,PT09M28.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,228,15,0,Missed,1,,,0,v,MISS Oubre Jr. 3PT Jump Shot,Missed Shot,Jump Shot,1,3,292
406,PT09M26.00S,3,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Rebound,Rebound,Unknown,0,0,293
408,PT09M19.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,,,0,v,Edgecombe Traveling Turnover (P2.T10),Turnover,Traveling,1,0,294
409,PT09M01.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-112,131,17,Made,1,70,51,121,h,Brown 17' Fadeaway Jumper (12 PTS),Made Shot,Fadeaway Jump Shot,1,2,295
410,PT08M39.00S,3,1610612755,PHI,202331,George,P. George,-157,217,27,Made,1,70,54,124,v,George 27' 3PT Step Back Jump Shot (15 PTS),Made Shot,Step Back Jump shot,1,3,296
411,PT08M24.00S,3,1610612738,BOS,1628401,White,D. White,124,250,28,Made,1,73,54,127,h,White 28' 3PT Jump Shot (10 PTS) (Brown 3 AST),Made Shot,Jump Shot,1,3,297
413,PT08M02.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-38,113,12,Made,1,73,56,129,v,Edgecombe 12' Pullup Jump Shot (11 PTS) (Drummond 2 AST),Made Shot,Pullup Jump shot,1,2,298
415,PT07M53.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,-71,247,26,Missed,1,,,0,h,MISS Tatum 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,299
416,PT07M52.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,300
417,PT07M42.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,25,5,3,Missed,1,,,0,v,MISS Oubre Jr. 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,301
418,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. REBOUND (Off:1 Def:4),Rebound,Unknown,1,0,302
419,PT07M41.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,Made,1,73,58,131,v,Oubre Jr. Tip Layup Shot (8 PTS),Made Shot,Tip Layup Shot,1,2,303
420,PT07M12.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,235,37,24,Missed,1,,,0,h,MISS Tatum 24' 3PT Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,3,304
421,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,1,0,305
422,PT07M12.00S,3,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Turnover: Shot Clock (T#7),Turnover,Shot Clock Turnover,1,0,306
423,PT07M00.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-131,222,26,Missed,1,,,0,v,MISS Oubre Jr. 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,307
424,PT06M58.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,308
426,PT06M45.00S,3,1610612738,BOS,1630573,Hauser,S. Hauser,0,0,0,,0,,,0,h,SUB: Pritchard FOR Hauser,Substitution,,0,0,309
428,PT06M33.00S,3,1610612738,BOS,1627759,Brown,J. Brown,7,156,16,Missed,1,,,0,h,MISS Brown 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,310
429,PT06M32.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,311
430,PT06M30.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond Bad Pass Turnover (P2.T11),Turnover,Bad Pass,1,0,312
430,PT06M30.00S,3,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown STEAL (2 STL),,,1,0,313
432,PT06M24.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-45,274,28,Made,1,76,58,134,h,Brown 28' 3PT Jump Shot (15 PTS) (Pritchard 4 AST),Made Shot,Jump Shot,1,3,314
434,PT06M05.00S,3,1610612755,PHI,202331,George,P. George,112,180,21,Missed,1,,,0,v,MISS George 21' Turnaround Jump Shot,Missed Shot,Turnaround Jump Shot,1,2,315
435,PT06M04.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:5),Rebound,Unknown,1,0,316
436,PT05M56.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,146,225,27,Made,1,79,58,137,h,Vucevic 27' 3PT Jump Shot (3 PTS) (White 4 AST),Made Shot,Jump Shot,1,3,317
438,PT05M55.00S,3,0,,1610612755,,,0,0,0,,0,,,0,v,76ers Timeout: Regular (Reg.3 Short 0),Timeout,Regular,0,0,318
441,PT05M39.00S,3,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,-67,122,14,Missed,1,,,0,v,MISS Edgecombe 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,319
442,PT05M37.00S,3,1610612738,BOS,1630202,Pritchard,P. Pritchard,0,0,0,,0,,,0,h,Pritchard REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,320
443,PT05M24.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,-1,5,1,Made,1,81,58,139,h,Tatum 1' Driving Layup (23 PTS),Made Shot,Driving Layup Shot,1,2,321
444,PT05M02.00S,3,1610612755,PHI,1630178,Maxey,T. Maxey,-29,84,9,Missed,1,,,0,v,MISS Maxey 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,322
445,PT05M00.00S,3,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic REBOUND (Off:0 Def:6),Rebound,Unknown,1,0,323
446,PT04M51.00S,3,1610612738,BOS,1627759,Brown,J. Brown,-6,6,1,Made,1,83,58,141,h,Brown 1' Cutting Dunk Shot (17 PTS) (White 5 AST),Made Shot,Cutting Dunk Shot,1,2,324
448,PT04M33.00S,3,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum S.FOUL (P1.T2) (P.Fraher),Foul,Shooting,1,0,325
450,PT04M33.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,83,59,142,v,George Free Throw 1 of 2 (16 PTS),Free Throw,Free Throw 1 of 2,1,0,326
451,PT04M33.00S,3,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,SUB: Grimes FOR Drummond,Substitution,,0,0,327
452,PT04M33.00S,3,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,SUB: Bona FOR Oubre Jr.,Substitution,,0,0,328
455,PT04M33.00S,3,1610612755,PHI,202331,George,P. George,0,0,0,,0,83,60,143,v,George Free Throw 2 of 2 (17 PTS),Free Throw,Free Throw 2 of 2,1,0,329
