actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
99,PT04M39.00S,1,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond OFF.Foul (P2) (S.Foster),Foul,Offensive,1,0,72
101,PT04M39.00S,1,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,Drummond Offensive Foul Turnover (P1.T5),Turnover,Offensive Foul Turnover,1,0,73
105,PT04M39.00S,1,0,,99,,,0,0,0,,0,22,11,33,,Instant Replay1st Period (1:28 PM EST),Instant Replay,Support Ruling,0,0,74
106,PT04M39.00S,1,1610612755,PHI,203083,Drummond,A. Drummond,0,0,0,,0,,,0,v,SUB: Oubre Jr. FOR Drummond,Substitution,,0,0,75
108,PT04M23.00S,1,1610612738,BOS,1628401,White,D. White,120,228,26,Missed,1,,,0,h,MISS White 26' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,76
109,PT04M20.00S,1,0,,1610612738,,,0,0,0,,0,,,0,h,CELTICS Rebound,Rebound,Unknown,0,0,77
111,PT04M15.00S,1,1610612738,BOS,1627759,Brown,J. Brown,23,15,3,Missed,1,,,0,h,MISS Brown 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,78
112,PT04M14.00S,1,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,,,0,v,Grimes REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,79
113,PT04M06.00S,1,1610612755,PHI,1631230,Barlow,D. Barlow,39,0,4,Missed,1,,,0,v,MISS Barlow 4' Running Layup,Missed Shot,Running Layup Shot,1,2,80
114,PT04M05.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:4),Rebound,Unknown,1,0,81
115,PT03M56.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,-99,274,29,Missed,1,,,0,h,MISS Tatum 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,82
116,PT03M55.00S,1,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,,,0,v,Grimes REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,83
117,PT03M49.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,2,1,0,Made,1,22,13,35,v,Maxey Running Finger Roll Layup (8 PTS),Made Shot,Running Finger Roll Layup Shot,1,2,84
118,PT03M49.00S,1,1610612738,BOS,1628401,White,D. White,0,0,0,,0,,,0,h,White S.FOUL (P1.T4) (S.Foster),Foul,Shooting,1,0,85
120,PT03M49.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,SUB: Walsh FOR Brown,Substitution,,0,0,86
122,PT03M49.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,22,14,36,v,Maxey Free Throw 1 of 1 (9 PTS),Free Throw,Free Throw 1 of 1,1,0,87
123,PT03M35.00S,1,1610612738,BOS,1630202,Pritchard,P. Pritchard,36,16,4,Made,1,24,14,38,h,Pritchard 4' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,88
124,PT03M17.00S,1,1610612755,PHI,202331,George,P. George,85,79,12,Missed,1,,,0,v,MISS George 12' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,89
125,PT03M16.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,h,Tatum REBOUND (Off:0 Def:5),Rebound,Unknown,1,0,90
126,PT03M04.00S,1,1610612738,BOS,1630202,Pritchard,P. Pritchard,181,168,25,Missed,1,,,0,h,MISS Pritchard 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,91
127,PT03M02.00S,1,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,,,0,v,Oubre Jr. REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,92
128,PT02M50.00S,1,1610612755,PHI,1630178,Maxey,T. Maxey,51,56,8,Missed,1,,,0,v,MISS Maxey 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,93
129,PT02M48.00S,1,1610612755,PHI,1631230,Barlow,D. Barlow,0,0,0,,0,,,0,v,Barlow REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,94
130,PT02M39.00S,1,1610612738,BOS,202696,Vučević,N. Vučević,0,0,0,,0,,,0,h,Vucevic S.FOUL (P2.PN) (P.Fraher),Foul,Shooting,1,0,95
