actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
290,PT05M27.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,54.0,31.0,0,v,Edwards REBOUND (Off:3 Def:2),Rebound,Unknown,1,0,196,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
271,PT05M15.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-224,4,0,Missed,1,54.0,31.0,0,v,MISS Edwards 3PT Jump Shot,Missed Shot,Jump Shot,1,3,197,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
272,PT05M13.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,54.0,31.0,0,h,Tatum REBOUND (Off:0 Def:8),Rebound,Unknown,1,0,198,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
274,PT05M04.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,54.0,31.0,0,v,SUB: George FOR Edwards,Substitution,,0,0,199,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
276,PT05M02.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,221,12,0,Missed,1,54.0,31.0,0,h,MISS Pritchard 3PT Jump Shot,Missed Shot,Jump Shot,1,3,200,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
277,PT05M01.00S,2,0,,1610612738,,,0,0,0,,0,54.0,31.0,0,h,CELTICS Rebound,Rebound,Unknown,0,0,201,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
278,PT05M01.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,0,0,0,,0,54.0,31.0,0,v,Oubre Jr. L.B.FOUL (P1.T4) (P.Fraher),Foul,Loose Ball,1,0,202,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
280,PT04M51.00S,2,1610612738,BOS,1628369,Tatum,J. Tatum,190,169,25,Missed,1,54.0,31.0,0,h,MISS Tatum 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,203,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
281,PT04M50.00S,2,1610612755,PHI,1630178,Maxey,T. Maxey,0,0,0,,0,54.0,31.0,0,v,Maxey REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,204,31-54,31-54,23.0,1,False,0.0,0.0,,0.0
282,PT04M39.00S,2,1610612755,PHI,1626162,Oubre Jr.,K. Oubre Jr.,-4,-1,0,Made,1,54.0,33.0,87,v,Oubre Jr. Driving Layup (4 PTS) (Maxey 3 AST),Made Shot,Driving Layup Shot,1,2,205,33-54,31-54,21.0,1,False,0.0,2.0,AWAY,2.0
