actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,score_after,score_before,diff,leader,lead_change,home_pts,away_pts,run_team,current_run
181,PT11M39.00S,2,1610612738,BOS,1630202,Pritchard,P. Pritchard,-2,293,29,Missed,1,33.0,18.0,0,h,MISS Pritchard 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,0,3,126,18-33,18-33,15.0,1,False,0.0,0.0,,0.0
182,PT11M37.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,33.0,18.0,0,h,Garza REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,127,18-33,18-33,15.0,1,False,0.0,0.0,,0.0
184,PT11M36.00S,2,1610612755,PHI,1642845,Edgecombe,V. Edgecombe,0,0,0,,0,33.0,18.0,0,v,Edgecombe S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,0,0,128,18-33,18-33,15.0,1,False,0.0,0.0,,0.0
186,PT11M36.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,34.0,18.0,52,h,Garza Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,129,18-34,18-33,16.0,1,False,1.0,0.0,HOME,1.0
187,PT11M36.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,35.0,18.0,53,h,Garza Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,0,0,130,18-35,18-34,17.0,1,False,1.0,0.0,HOME,2.0
188,PT11M25.00S,2,1610612738,BOS,1630568,Garza,L. Garza,0,0,0,,0,35.0,18.0,0,h,Garza S.FOUL (P1.T1) (P.Fraher),Foul,Shooting,1,0,131,18-35,18-35,17.0,1,False,0.0,0.0,,0.0
190,PT11M25.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35.0,19.0,54,v,George Free Throw 1 of 2 (6 PTS),Free Throw,Free Throw 1 of 2,1,0,132,19-35,18-35,16.0,1,False,0.0,1.0,AWAY,1.0
191,PT11M25.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35.0,20.0,55,v,George Free Throw 2 of 2 (7 PTS),Free Throw,Free Throw 2 of 2,1,0,133,20-35,19-35,15.0,1,False,0.0,1.0,AWAY,2.0
192,PT11M06.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-36,112,12,Missed,1,35.0,20.0,0,h,MISS Brown 12' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,1,2,134,20-35,20-35,15.0,1,False,0.0,0.0,,0.0
193,PT11M05.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,0,0,0,,0,35.0,20.0,0,v,Edwards REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,135,20-35,20-35,15.0,1,False,0.0,0.0,,0.0
194,PT10M55.00S,2,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,35.0,20.0,0,h,Brown S.FOUL (P2.T2) (P.Fraher),Foul,Shooting,1,0,136,20-35,20-35,15.0,1,False,0.0,0.0,,0.0
196,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35.0,20.0,0,v,MISS George Free Throw 1 of 3,Free Throw,Free Throw 1 of 3,1,0,137,20-35,20-35,15.0,1,False,0.0,0.0,,0.0
197,PT10M55.00S,2,0,,1610612755,,,0,0,0,,0,35.0,20.0,0,v,76ers Rebound,Rebound,Normal Rebound,0,0,138,20-35,20-35,15.0,1,False,0.0,0.0,,0.0
198,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35.0,21.0,56,v,George Free Throw 2 of 3 (8 PTS),Free Throw,Free Throw 2 of 3,1,0,139,21-35,20-35,14.0,1,False,0.0,1.0,AWAY,1.0
199,PT10M55.00S,2,1610612755,PHI,202331,George,P. George,0,0,0,,0,35.0,22.0,57,v,George Free Throw 3 of 3 (9 PTS),Free Throw,Free Throw 3 of 3,1,0,140,22-35,21-35,13.0,1,False,0.0,1.0,AWAY,2.0
200,PT10M37.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,-142,16,14,Made,1,37.0,22.0,59,h,Scheierman 14' Driving Floating Jump Shot (2 PTS) (Brown 2 AST),Made Shot,Driving Floating Jump Shot,1,2,141,22-37,22-35,15.0,1,False,2.0,0.0,HOME,2.0
202,PT10M24.00S,2,1610612755,PHI,202331,George,P. George,44,14,5,Missed,1,37.0,22.0,0,v,MISS George 5' Driving Layup,Missed Shot,Driving Layup Shot,1,2,142,22-37,22-37,15.0,1,False,0.0,0.0,,0.0
202,PT10M24.00S,2,1610612738,BOS,1631248,Scheierman,B. Scheierman,0,0,0,,0,37.0,22.0,0,h,Scheierman BLOCK (1 BLK),,,1,2,143,22-37,22-37,15.0,1,False,0.0,0.0,,0.0
204,PT10M23.00S,2,0,,1610612755,,,0,0,0,,0,37.0,22.0,0,v,76ers Rebound,Rebound,Unknown,0,0,144,22-37,22-37,15.0,1,False,0.0,0.0,,0.0
206,PT10M22.00S,2,1610612755,PHI,1629656,Grimes,Q. Grimes,0,0,0,,0,37.0,22.0,0,v,Grimes Step Out of Bounds Turnover (P1.T7),Turnover,Step Out of Bounds Turnover,1,0,145,22-37,22-37,15.0,1,False,0.0,0.0,,0.0
207,PT10M08.00S,2,1610612738,BOS,1630568,Garza,L. Garza,-92,264,28,Made,1,40.0,22.0,62,h,Garza 28' 3PT Jump Shot (5 PTS) (Pritchard 1 AST),Made Shot,Jump Shot,1,3,146,22-40,22-37,18.0,1,False,3.0,0.0,HOME,3.0
209,PT09M56.00S,2,1610612755,PHI,1642348,Edwards,J. Edwards,-147,188,24,Made,1,40.0,25.0,65,v,Edwards 24' 3PT Jump Shot (3 PTS) (Edgecombe 1 AST),Made Shot,Jump Shot,1,3,147,25-40,22-40,15.0,1,False,0.0,3.0,AWAY,3.0
211,PT09M39.00S,2,1610612738,BOS,1627759,Brown,J. Brown,-23,158,16,Missed,1,40.0,25.0,0,h,MISS Brown 16' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,148,25-40,25-40,15.0,1,False,0.0,0.0,,0.0
