game_id,local_path,status
0022400102,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400102.json'), True)",success
0022400105,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400105.json'), True)",success
0022400111,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400111.json'), True)",success
0022400114,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400114.json'), True)",success
0022400116,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400116.json'), True)",success
0022400115,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400115.json'), True)",success
0022400113,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400113.json'), True)",success
0022400124,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400124.json'), True)",success
0022400120,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400120.json'), True)",success
0022400122,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400122.json'), True)",success
0022400117,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400117.json'), True)",success
0022400119,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400119.json'), True)",success
0022400126,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400126.json'), True)",success
0022400127,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400127.json'), True)",success
0022400118,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400118.json'), True)",success
0022400123,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400123.json'), True)",success
0022400121,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400121.json'), True)",success
0022400125,"(PosixPath('/Users/manishkavuri/Desktop/nba-lineup-decision-engine/data/raw/pbp/0022400125.json'), True)",success
